player_name,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings,month,day,opponent,team,score
Hidemasa Morita,36.0,0.0,0.0,0.0,0.0,7.1,May,26,FC Porto,Sporting CP,1.0
Hidemasa Morita,73.0,0.0,0.0,0.0,0.0,7.7,May,18,Chaves,Sporting CP,3.0
Hidemasa Morita,89.0,0.0,0.0,0.0,0.0,7.4,May,11,Estoril,Sporting CP,1.0
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.8,Aug,24,Rio Ave,FC Porto,2.0
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.4,Aug,16,Santa Clara,FC Porto,2.0
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.4,Aug,10,Gil Vicente,FC Porto,3.0
Alan Varela,120.0,0.0,0.0,1.0,0.0,6.9,Aug,3,Sporting CP,FC Porto,4.0
Alan Varela,85.0,0.0,0.0,1.0,0.0,7.3,May,26,Sporting CP,FC Porto,2.0
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.6,May,18,Braga,FC Porto,1.0
Alan Varela,90.0,0.0,0.0,1.0,0.0,7.4,May,12,Boavista,FC Porto,2.0
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.4,May,4,Chaves,FC Porto,3.0
Mirko Topic,90.0,0.0,0.0,0.0,0.0,7.1,Aug,24,Boavista,Famalicao,1.0
Mirko Topic,90.0,0.0,0.0,0.0,0.0,7.8,Aug,19,Estrela da Amadora,Famalicao,3.0
Mirko Topic,90.0,0.0,0.0,0.0,0.0,7.8,Aug,11,Benfica,Famalicao,2.0
Mirko Topic,75.0,0.0,0.0,0.0,0.0,6.3,May,17,Casa Pia AC,Famalicao,1.0
Mirko Topic,90.0,0.0,0.0,0.0,0.0,8.3,May,10,Chaves,Famalicao,1.0
Mirko Topic,90.0,0.0,1.0,0.0,0.0,8.7,May,5,Benfica,Famalicao,2.0
Mirko Topic,67.0,0.0,0.0,0.0,0.0,6.2,Apr,28,Estoril,Famalicao,0.0
Mirko Topic,55.0,0.0,0.0,0.0,0.0,6.7,Apr,21,Portimonense,Famalicao,2.0
Mirko Topic,78.0,0.0,0.0,0.0,0.0,6.7,Apr,16,Sporting CP,Famalicao,0.0
