player_name,team,Height,Age,Market value,Primary,Touches,Shot attempts,Goals,Chances created,Aerial duels won,Defensive actions
Rafik Guitane,Braga,164,25,5100000.0,Right Winger,72,9,40,85,3,1
Joao Tome,Rio Ave,185,21,850000.0,Left Midfielder,0,0,0,0,0,0
Nani,Estrela da Amadora,175,37,200000.0,Left Winger,60,53,57,54,82,58
Victor Gomez,Braga,169,24,8500000.0,Right-back,71,29,0,94,21,33
Pedro Amaral,Estoril,178,27,650000.0,Left-back,30,60,64,62,56,47
Joao Goulart,Casa Pia AC,191,24,100000.0,Center-back,0,0,0,0,0,0
José Fonte,Casa Pia AC,185,40,100000.0,Center-back,67,69,0,46,41,34
Michel Costa,Estoril,165,22,150000.0,Central Midfielder,58,11,0,4,43,62
Eliaquim Mangala,Estoril,188,33,1900000.0,Center-back,53,1,0,7,13,74
Amine Oudrhiri Idrissi,Rio Ave,184,31,340000.0,Central Midfielder,45,4,31,3,13,32
Gustavo Henrique Rodrigues,Estrela da Amadora,176,25,450000.0,Left Midfielder,0,0,0,0,0,0
Joao Novais,Rio Ave,183,31,900000.0,Central Midfielder,65,37,36,60,33,51
Alejandro Marques,Estoril,189,24,520000.0,Striker,8,78,59,5,28,79
Fabio Ronaldo,Rio Ave,178,23,820000.0,Left Midfielder,28,46,30,47,36,11
Ferro,Estrela da Amadora,191,27,1000000.0,Center-back,0,0,0,0,0,0
Pedro Alvaro,Estoril,186,24,950000.0,Center-back,38,37,0,43,34,68
Jonathan Lucca,AVS Futebol SAD,184,30,350000.0,Defensive Midfielder,30,42,0,6,91,88
Jonathan Mutombo,Gil Vicente,183,22,0.0,defender,0,0,0,0,0,0
Sphephelo Sithole,Gil Vicente,186,25,250000.0,Defensive Midfielder,56,17,0,20,52,38
Jason,Arouca,178,30,2200000.0,Right Winger,37,66,48,69,19,12
Kikas,Estrela da Amadora,177,25,480000.0,Striker,18,48,68,72,31,8
Alan Ruiz,Estrela da Amadora,172,31,720000.0,Central Midfielder,81,98,98,99,97,37
Andre Geraldes,Casa Pia AC,181,33,350000.0,Right Midfielder,26,12,0,7,30,27
Clayton,Rio Ave,184,25,2300000.0,Striker,67,83,39,21,58,92
Joao Mendes,Vitoria de Guimaraes,183,29,520000.0,Central Midfielder,67,88,94,94,23,53
Gaizka Larrazabal,Casa Pia AC,180,26,850000.0,Right Midfielder,58,44,52,51,33,73
Goncalo Miguel,Boavista,181,21,0.0,Right-back,0,0,0,0,0,0
Leo Cordeiro,Estrela da Amadora,174,28,650000.0,Central Midfielder,41,56,51,38,24,29
Tiago Morais,Rio Ave,168,21,3500000.0,Left Winger,55,23,66,62,3,75
Manuel Keliano,Estrela da Amadora,185,21,250000.0,Central Midfielder,1,32,0,21,28,87
Ángel Di Maria,Benfica,178,36,3000000.0,Right Winger,99,98,75,99,1,3
Matheus,Sporting CP,183,29,8199999.999999999,Left Midfielder,98,3,0,35,65,27
Caio Santana,Estrela da Amadora,188,20,0.0,midfielder,0,0,0,0,0,0
Henrique Pereira,Casa Pia AC,181,22,0.0,Striker,0,0,0,0,0,0
Joao Barros,Boavista,183,18,0.0,forward,0,0,0,0,0,0
Alberto Baio,Vitoria de Guimaraes,186,20,0.0,Right-back,0,0,0,0,0,0
