text,href
137Morlaye SyllaPlayer of the Match: 06.77,/en-GB/players/689050/morlaye-sylla
138Matheus PereiraPlayer of the Match: 06.77,/en-GB/players/1187623/matheus-pereira
139Jonathan BuatuPlayer of the Match: 06.76,/en-GB/players/201102/jonathan-buatu
140KlismahnPlayer of the Match: 06.76,/en-GB/players/1299645/klismahn
141Leonel BuccaPlayer of the Match: 06.76,/en-GB/players/1201808/leonel-bucca
142Oscar ArandaPlayer of the Match: 06.76,/en-GB/players/1208987/oscar-aranda
143Danilo VeigaPlayer of the Match: 16.75,/en-GB/players/1306664/danilo-veiga
144Bruno VarelaPlayer of the Match: 06.75,/en-GB/players/287640/bruno-varela
145Gabriel BatistaPlayer of the Match: 06.75,/en-GB/players/846023/gabriel-batista
146João MarquesPlayer of the Match: 06.73,/en-GB/players/1428671/joao-marques
147Filipe FerreiraPlayer of the Match: 06.73,/en-GB/players/476766/filipe-ferreira
148Roger FernandesPlayer of the Match: 06.72,/en-GB/players/1283094/roger-fernandes
149Anatolii TrubinPlayer of the Match: 06.72,/en-GB/players/1022350/anatolii-trubin
150Nuno SantosPlayer of the Match: 06.70,/en-GB/players/867395/nuno-santos
151Chico LambaPlayer of the Match: 06.69,/en-GB/players/1188585/chico-lamba
152Nélson OliveiraPlayer of the Match: 16.68,/en-GB/players/156556/nelson-oliveira
153Samuel GranadaPlayer of the Match: 06.67,/en-GB/players/1227654/samuel-granada
154Taichi FukuiPlayer of the Match: 06.66,/en-GB/players/1269404/taichi-fukui
155Luis RochaPlayer of the Match: 06.66,/en-GB/players/244355/luis-rocha
156Mateus FernandesPlayer of the Match: 06.66,/en-GB/players/1356312/mateus-fernandes
157Zeno DebastPlayer of the Match: 06.66,/en-GB/players/1232172/zeno-debast
158Vitor GomesPlayer of the Match: 06.65,/en-GB/players/112397/vitor-gomes
159AndrewPlayer of the Match: 06.64,/en-GB/players/958283/andrew
160Pedro CarvalhoPlayer of the Match: 06.64,/en-GB/players/1525164/pedro-carvalho
161Mohamed BelloumiPlayer of the Match: 06.63,/en-GB/players/1231090/mohamed-belloumi
162Guilherme SchettinePlayer of the Match: 06.63,/en-GB/players/797896/guilherme-schettine
163Kiko BondosoPlayer of the Match: 06.62,/en-GB/players/1150871/kiko-bondoso
164Lawrence OforiPlayer of the Match: 06.62,/en-GB/players/890500/lawrence-ofori
165Goncalo BorgesPlayer of the Match: 06.62,/en-GB/players/1080520/goncalo-borges
166Gustavo GarciaPlayer of the Match: 06.61,/en-GB/players/1256650/gustavo-garcia
167Jonathan PanzoPlayer of the Match: 06.60,/en-GB/players/955366/jonathan-panzo
168Rafael BarbosaPlayer of the Match: 06.59,/en-GB/players/641218/rafael-barbosa
169Gil DiasPlayer of the Match: 06.58,/en-GB/players/566467/gil-dias
170Nuno MoreiraPlayer of the Match: 06.58,/en-GB/players/1188608/nuno-moreira
171Nigel ThomasPlayer of the Match: 06.58,/en-GB/players/1012783/nigel-thomas
172Brandon AguileraPlayer of the Match: 06.57,/en-GB/players/1021336/brandon-aguilera
173Jose FontánPlayer of the Match: 06.57,/en-GB/players/1160390/jose-fontan
174Matheus DiasPlayer of the Match: 06.57,/en-GB/players/1380814/matheus-dias
175Nuno SantosPlayer of the Match: 06.57,/en-GB/players/554283/nuno-santos
176Yanis BegraouiPlayer of the Match: 06.57,/en-GB/players/933639/yanis-begraoui
177Alejandro OrellanaPlayer of the Match: 06.57,/en-GB/players/1070191/alejandro-orellana
178PastorPlayer of the Match: 06.56,/en-GB/players/1288517/pastor
179Telmo ArcanjoPlayer of the Match: 06.56,/en-GB/players/1165477/telmo-arcanjo
180Miguel SousaPlayer of the Match: 06.55,/en-GB/players/948704/miguel-sousa
181Jaume GrauPlayer of the Match: 06.55,/en-GB/players/893399/jaume-grau
182Jorge AguirrePlayer of the Match: 06.55,/en-GB/players/1203824/jorge-aguirre
183Miguel LopesPlayer of the Match: 06.55,/en-GB/players/150080/miguel-lopes
184Henrique AraujoPlayer of the Match: 06.54,/en-GB/players/1192386/henrique-araujo
185Jean-Baptiste GorbyPlayer of the Match: 06.54,/en-GB/players/1292369/jean-baptiste-gorby
186QuaresmaPlayer of the Match: 06.53,/en-GB/players/1195556/quaresma
187Lucas SoaresPlayer of the Match: 06.53,/en-GB/players/1077665/lucas-soares
188Leonardo LeloPlayer of the Match: 06.52,/en-GB/players/1281236/leonardo-lelo
189Joao GoncalvesPlayer of the Match: 06.52,/en-GB/players/1079220/joao-goncalves
190Ivo RodriguesPlayer of the Match: 06.51,/en-GB/players/388532/ivo-rodrigues
191WendellPlayer of the Match: 06.51,/en-GB/players/487867/wendell
192Fran NavarroPlayer of the Match: 06.51,/en-GB/players/671855/fran-navarro
193Miguel BaezaPlayer of the Match: 06.50,/en-GB/players/1088053/miguel-baeza
194Angelo NetoPlayer of the Match: 06.50,/en-GB/players/304615/angelo-neto
195KazuPlayer of the Match: 06.50,/en-GB/players/1173577/kazu
196Marko GrujicPlayer of the Match: 06.50,/en-GB/players/463284/marko-grujic
197Nermin ZoloticPlayer of the Match: 06.50,/en-GB/players/280443/nermin-zolotic
198Patrick SequeiraPlayer of the Match: 06.50,/en-GB/players/1237856/patrick-sequeira
199Sidnei TavaresPlayer of the Match: 06.49,/en-GB/players/982272/sidnei-tavares
200Amine El OuazzaniPlayer of the Match: 06.49,/en-GB/players/1123505/amine-el-ouazzani
201Bruno CostaPlayer of the Match: 06.49,/en-GB/players/470535/bruno-costa
202Vinicius ZanoceloPlayer of the Match: 06.49,/en-GB/players/1037548/vinicius-zanocelo
203Josafat MendesPlayer of the Match: 06.48,/en-GB/players/1284496/josafat-mendes
204Pedro SantosPlayer of the Match: 06.48,/en-GB/players/1356299/pedro-santos
205Rafik GuitanePlayer of the Match: 06.48,/en-GB/players/814869/rafik-guitane
206Joao TomePlayer of the Match: 06.47,/en-GB/players/1374504/joao-tome
207NaniPlayer of the Match: 06.47,/en-GB/players/40945/nani
208Victor GomezPlayer of the Match: 06.47,/en-GB/players/927647/victor-gomez
209Pedro AmaralPlayer of the Match: 06.46,/en-GB/players/776584/pedro-amaral
210Joao GoulartPlayer of the Match: 06.45,/en-GB/players/1188577/joao-goulart
211José FontePlayer of the Match: 06.44,/en-GB/players/26552/jose-fonte
212Michel CostaPlayer of the Match: 06.44,/en-GB/players/1174658/michel-costa
213Eliaquim MangalaPlayer of the Match: 06.43,/en-GB/players/156551/eliaquim-mangala
214Amine Oudrhiri IdrissiPlayer of the Match: 06.43,/en-GB/players/492157/amine-oudrhiri-idrissi
215Gustavo Henrique RodriguesPlayer of the Match: 06.43,/en-GB/players/1187021/gustavo-henrique-rodrigues
216Joao NovaisPlayer of the Match: 06.43,/en-GB/players/470301/joao-novais
217AlyssonPlayer of the Match: 06.42,/en-GB/players/1603716/alysson
218Alejandro MarquesPlayer of the Match: 06.41,/en-GB/players/929835/alejandro-marques
219Fabio RonaldoPlayer of the Match: 06.41,/en-GB/players/1288115/fabio-ronaldo
220Ricardo VelhoPlayer of the Match: 06.41,/en-GB/players/863848/ricardo-velho
221Bernardo VitalPlayer of the Match: 06.40,/en-GB/players/1184043/bernardo-vital
222FerroPlayer of the Match: 06.40,/en-GB/players/722778/ferro
223Pedro AlvaroPlayer of the Match: 06.39,/en-GB/players/822258/pedro-alvaro
224Jonathan LuccaPlayer of the Match: 06.38,/en-GB/players/362196/jonathan-lucca
225Jonathan MutomboPlayer of the Match: 06.38,/en-GB/players/1668003/jonathan-mutombo
226Sphephelo SitholePlayer of the Match: 06.38,/en-GB/players/1107735/sphephelo-sithole
227JasonPlayer of the Match: 06.37,/en-GB/players/451984/jason
228KikasPlayer of the Match: 06.37,/en-GB/players/957181/kikas
229Alan RuizPlayer of the Match: 06.35,/en-GB/players/263707/alan-ruiz
230Andre GeraldesPlayer of the Match: 06.35,/en-GB/players/209503/andre-geraldes
231ClaytonPlayer of the Match: 06.35,/en-GB/players/1290479/clayton
232Joao MendesPlayer of the Match: 06.35,/en-GB/players/874318/joao-mendes
233Dario EssugoPlayer of the Match: 06.34,/en-GB/players/1239595/dario-essugo
234Gaizka LarrazabalPlayer of the Match: 06.34,/en-GB/players/802329/gaizka-larrazabal
235Goncalo MiguelPlayer of the Match: 06.33,/en-GB/players/1524751/goncalo-miguel
236Leo CordeiroPlayer of the Match: 06.32,/en-GB/players/1079235/leo-cordeiro
237Tiago MoraisPlayer of the Match: 06.31,/en-GB/players/1187392/tiago-morais
238Manuel KelianoPlayer of the Match: 06.30,/en-GB/players/1453679/manuel-keliano
239Ángel Di MariaPlayer of the Match: 06.30,/en-GB/players/46509/angel-di-maria
240MatheusPlayer of the Match: 06.30,/en-GB/players/653592/matheus
241Caio SantanaPlayer of the Match: 06.29,/en-GB/players/1597670/caio-santana
242Henrique PereiraPlayer of the Match: 06.28,/en-GB/players/1226190/henrique-pereira
243Joao BarrosPlayer of the Match: 06.28,/en-GB/players/1667425/joao-barros
244Alberto BaioPlayer of the Match: 06.27,/en-GB/players/1387439/alberto-baio
245Telasco SegoviaPlayer of the Match: 06.27,/en-GB/players/1253904/telasco-segovia
246Talys OliveiraPlayer of the Match: 06.26,/en-GB/players/949349/talys-oliveira
247Salvador AgraPlayer of the Match: 06.25,/en-GB/players/214449/salvador-agra
248Tiago DiasPlayer of the Match: 06.25,/en-GB/players/582408/tiago-dias
249Arvin AppiahPlayer of the Match: 06.24,/en-GB/players/942356/arvin-appiah
250Rodrigo PinhoPlayer of the Match: 06.24,/en-GB/players/667962/rodrigo-pinho
251Simao BertelliPlayer of the Match: 16.23,/en-GB/players/1079233/simao-bertelli
252Claudio FalcaoPlayer of the Match: 06.23,/en-GB/players/864779/claudio-falcao
253PatrickPlayer of the Match: 06.23,/en-GB/players/934713/patrick
254Tommie van de LooiPlayer of the Match: 06.22,/en-GB/players/869364/tommie-van-de-looi
255Babatunde AkinsolaPlayer of the Match: 06.22,/en-GB/players/1284404/babatunde-akinsola
256Duplexe TchambaPlayer of the Match: 06.22,/en-GB/players/834641/duplexe-tchamba
257GabrielPlayer of the Match: 06.22,/en-GB/players/1178467/gabriel
258PabloPlayer of the Match: 06.22,/en-GB/players/1261975/pablo
259Marco MatiasPlayer of the Match: 06.21,/en-GB/players/40946/marco-matias
260Ruben MacedoPlayer of the Match: 06.21,/en-GB/players/554295/ruben-macedo
261Adrián ButzkePlayer of the Match: 06.21,/en-GB/players/1102246/adrian-butzke
262Alfonso TrezzaPlayer of the Match: 06.21,/en-GB/players/1139353/alfonso-trezza
263Lucas FrancaPlayer of the Match: 06.21,/en-GB/players/750049/lucas-franca
264Joao CarvalhoPlayer of the Match: 06.20,/en-GB/players/603808/joao-carvalho
265WeversonPlayer of the Match: 06.19,/en-GB/players/891744/weverson
266Sebastian PerezPlayer of the Match: 06.19,/en-GB/players/309353/sebastian-perez
267Gianluca PrestianniPlayer of the Match: 06.18,/en-GB/players/1363660/gianluca-prestianni
268Andre CastroPlayer of the Match: 06.18,/en-GB/players/40956/andre-castro
269Sandro CruzPlayer of the Match: 06.18,/en-GB/players/1045565/sandro-cruz
