player_names,matchday_details,matchday_stats,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings
Luiz Junior,Feb 10Farense1-1,9000108.0,90,0,0,1,0,8.0
Luiz Junior,Jan 28Moreirense1-0,9000006.5,90,0,0,0,0,6.5
Luiz Junior,Jan 18Braga1-2,9000006.9,90,0,0,0,0,6.9
Luiz Junior,Jan 13Casa Pia AC0-2,9000008.2,90,0,0,0,0,8.2
Luiz Junior,Jan 7Chaves2-2,9000006.6,90,0,0,0,0,6.6
Luiz Junior,"Dec 29, 2023Benfica3-0",9000006.2,90,0,0,0,0,6.2
Luiz Junior,"Dec 17, 2023Estoril1-1",9000006.8,90,0,0,0,0,6.8
Luiz Junior,"Dec 9, 2023Portimonense1-1",9000006.9,90,0,0,0,0,6.9
Luiz Junior,"Dec 2, 2023FC Porto0-3",9000005.5,90,0,0,0,0,5.5
Luiz Junior,"Nov 11, 2023Vizela0-0",9000008.7,90,0,0,0,0,8.7
Luiz Junior,"Nov 4, 2023Gil Vicente3-1",9000006.7,90,0,0,0,0,6.7
Luiz Junior,"Oct 29, 2023Estrela da Amadora1-0",9000007.4,90,0,0,0,0,7.4
Andre Horta,May 9Aston Villa2-0,1700006.5,17,0,0,0,0,6.5
Andre Horta,May 2Aston Villa2-4,2000006.2,20,0,0,0,0,6.2
Andre Horta,Apr 28Lamia4-1,8400006.8,84,0,0,0,0,6.8
Andre Horta,Apr 21PAOK Thessaloniki FC2-1,8500007.6,85,0,0,0,0,7.6
Andre Horta,Apr 18Fenerbahçe3-3,1100006.3,11,0,0,0,0,6.3
Andre Horta,Apr 11Fenerbahçe3-2,80000-,8,0,0,0,0,-
Andre Horta,Apr 7Lamia1-5,7100007.3,71,0,0,0,0,7.3
Andre Horta,Mar 14Maccabi Tel Aviv1-6,8200007.7,82,0,0,0,0,7.7
Andre Horta,Mar 10Panathinaikos1-3,5900006.2,59,0,0,0,0,6.2
Andre Horta,Mar 7Maccabi Tel Aviv1-4,8400007.8,84,0,0,0,0,7.8
Andre Horta,Mar 3NFC Volos3-0,9001008.2,90,0,1,0,0,8.2
Andre Horta,Feb 25Asteras Tripolis2-1,9001008.6,90,0,1,0,0,8.6
Andre Horta,Feb 22Ferencvaros0-1,7400007.6,74,0,0,0,0,7.6
Andre Horta,Feb 18PAOK Thessaloniki FC1-4,8000006.8,80,0,0,0,0,6.8
Andre Horta,Feb 15Ferencvaros1-0,2800006.6,28,0,0,0,0,6.6
Andre Horta,Feb 4Panathinaikos2-0,1300006.0,13,0,0,0,0,6.0
