player_names,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings,Month,Day,Opponent
Ze Pedro,90.0,0.0,0.0,0.0,0.0,7.2,May,18,Braga
Ze Pedro,90.0,1.0,0.0,0.0,0.0,8.0,May,12,Boavista
Ze Pedro,90.0,0.0,0.0,0.0,0.0,7.4,May,4,Chaves
Kanya Fujimoto,90.0,0.0,0.0,1.0,0.0,6.9,Sep,1,Braga
Kanya Fujimoto,73.0,0.0,0.0,0.0,0.0,6.8,Aug,25,Estoril
Kanya Fujimoto,90.0,3.0,0.0,0.0,0.0,9.7,Aug,16,AVS Futebol SAD
Kanya Fujimoto,66.0,0.0,0.0,0.0,0.0,6.4,Aug,10,FC Porto
Kanya Fujimoto,90.0,0.0,0.0,0.0,0.0,6.4,May,18,Estrela da Amadora
Kanya Fujimoto,80.0,1.0,0.0,0.0,0.0,7.7,May,12,Farense
Kanya Fujimoto,76.0,0.0,0.0,0.0,0.0,6.8,May,4,Boavista
Kanya Fujimoto,90.0,0.0,1.0,0.0,0.0,7.7,Apr,26,Arouca
Kanya Fujimoto,83.0,0.0,0.0,0.0,0.0,6.8,Apr,20,Moreirense
Kanya Fujimoto,45.0,0.0,0.0,0.0,0.0,6.4,Apr,12,Sporting CP
Daniel Braganca,4.0,0.0,0.0,0.0,0.0,7.2,Aug,31,FC Porto
Daniel Braganca,72.0,0.0,0.0,1.0,0.0,7.7,Aug,23,Farense
Daniel Braganca,90.0,1.0,1.0,0.0,0.0,8.9,Aug,17,Nacional
Daniel Braganca,14.0,0.0,0.0,0.0,0.0,6.4,Aug,9,Rio Ave
Daniel Braganca,31.0,0.0,0.0,0.0,0.0,6.6,Aug,3,FC Porto
Daniel Braganca,49.0,0.0,0.0,1.0,0.0,7.2,May,26,FC Porto
Daniel Braganca,17.0,0.0,0.0,0.0,0.0,6.1,May,18,Chaves
Daniel Braganca,57.0,0.0,0.0,0.0,0.0,7.0,May,11,Estoril
Daniel Braganca,22.0,0.0,1.0,0.0,0.0,7.8,May,4,Portimonense
Daniel Braganca,45.0,0.0,0.0,0.0,0.0,6.4,Apr,28,FC Porto
Francisco Moura,90.0,0.0,0.0,0.0,0.0,6.5,Sep,1,Vitoria de Guimaraes
Francisco Moura,90.0,0.0,1.0,0.0,0.0,7.9,Aug,24,Boavista
Francisco Moura,90.0,0.0,0.0,0.0,0.0,7.2,Aug,19,Estrela da Amadora
Francisco Moura,90.0,0.0,0.0,0.0,0.0,7.8,Aug,11,Benfica
Francisco Moura,90.0,0.0,0.0,1.0,0.0,6.3,May,17,Casa Pia AC
Francisco Moura,90.0,0.0,0.0,0.0,0.0,7.3,May,10,Chaves
Francisco Moura,90.0,0.0,0.0,0.0,0.0,7.9,May,5,Benfica
Francisco Moura,90.0,0.0,0.0,0.0,0.0,6.6,Apr,28,Estoril
Francisco Moura,90.0,0.0,1.0,0.0,0.0,8.7,Apr,21,Portimonense
