player_names,matchday_details,matchday_stats,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings
Ze Pedro,,,,,,,,
Ze Pedro,Aug 31Sporting CP2-0,9000007.2,90,0,0,0,0,7.2
Ze Pedro,Aug 24Rio Ave2-0,9000007.9,90,0,0,0,0,7.9
Ze Pedro,Aug 16Santa Clara0-2,9000107.6,90,0,0,1,0,7.6
Ze Pedro,Aug 10Gil Vicente3-0,9000007.5,90,0,0,0,0,7.5
Ze Pedro,Aug 3Sporting CP3-4,12000006.1,120,0,0,0,0,6.1
Ze Pedro,Jul 28Al Nassr FC4-0,7400006.8,74,0,0,0,0,6.8
Ze Pedro,May 26Sporting CP2-1,1200010-,120,0,0,1,0,-
Ze Pedro,May 18Braga0-1,9000007.2,90,0,0,0,0,7.2
Ze Pedro,May 12Boavista2-1,9010008.0,90,1,0,0,0,8.0
Ze Pedro,May 4Chaves0-3,9000007.4,90,0,0,0,0,7.4
Kanya Fujimoto,,,,,,,,
Kanya Fujimoto,Sep 1Braga0-0,9000106.9,90,0,0,1,0,6.9
Kanya Fujimoto,Aug 25Estoril0-0,7300006.8,73,0,0,0,0,6.8
Kanya Fujimoto,Aug 16AVS Futebol SAD4-2,9030009.7,90,3,0,0,0,9.7
Kanya Fujimoto,Aug 10FC Porto3-0,6600006.4,66,0,0,0,0,6.4
Kanya Fujimoto,May 18Estrela da Amadora1-0,9000006.4,90,0,0,0,0,6.4
Kanya Fujimoto,May 12Farense2-0,8010007.7,80,1,0,0,0,7.7
Kanya Fujimoto,May 4Boavista1-1,7600006.8,76,0,0,0,0,6.8
Kanya Fujimoto,Apr 26Arouca2-2,9001007.7,90,0,1,0,0,7.7
Kanya Fujimoto,Apr 20Moreirense0-1,8300006.8,83,0,0,0,0,6.8
Kanya Fujimoto,Apr 12Sporting CP0-4,4500006.4,45,0,0,0,0,6.4
Daniel Braganca,,,,,,,,
